Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,
TG Southee,45.0,14,105,3,2.33,35.00,90.0,,Test v Pakistan,Karachi,2 Jan 2023,Test # 2487
TG Southee,8.1,0,55,1,6.73,55.00,49.0,,ODI v Pakistan,Karachi,9 Jan 2023,ODI # 4500
TG Southee,6.0,1,33,2,5.50,16.50,18.0,,ODI v Pakistan,Karachi,11 Jan 2023,ODI # 4502
TG Southee,10.0,0,56,3,5.60,18.66,20.0,,ODI v Pakistan,Karachi,13 Jan 2023,ODI # 4504
TG Southee,28.0,3,120,2,4.28,60.00,84.0,,Test v England,Mount Maunganui,16 Feb 2023,Test # 2492
TG Southee,44.1,10,138,4,3.12,34.50,66.2,,Test v England,Wellington,24 Feb 2023,Test # 2494
TG Southee,53.1,19,121,7,2.27,17.28,45.5,,Test v Sri Lanka,Christchurch,9 Mar 2023,Test # 2498
TG Southee,42.0,19,73,4,1.73,18.25,63.0,,Test v Sri Lanka,Wellington,17 Mar 2023,Test # 2500
TG Southee,4.0,0,25,5,6.25,5.00,4.8,,T20I v U.A.E.,Dubai (DSC),17 Aug 2023,T20I # 2198
TG Southee,3.4,1,32,1,8.72,32.00,22.0,,T20I v U.A.E.,Dubai (DSC),19 Aug 2023,T20I # 2203
TG Southee,4.0,1,24,0,6.00,-,-,,T20I v U.A.E.,Dubai (DSC),20 Aug 2023,T20I # 2209
TG Southee,3.0,0,25,1,8.33,25.00,18.0,,T20I v England,Chester-le-Street,30 Aug 2023,T20I # 2225
TG Southee,4.0,0,48,1,12.00,48.00,24.0,,T20I v England,Manchester,1 Sep 2023,T20I # 2229
TG Southee,3.3,0,30,2,8.57,15.00,10.5,,T20I v England,Birmingham,3 Sep 2023,T20I # 2231
TG Southee,4.0,0,39,0,9.75,-,-,,T20I v England,Nottingham,5 Sep 2023,T20I # 2232
TG Southee,10.0,0,71,2,7.10,35.50,30.0,,ODI v England,Cardiff,8 Sep 2023,ODI # 4636
TG Southee,7.0,0,65,2,9.28,32.50,21.0,,ODI v England,Southampton,10 Sep 2023,ODI # 4640
TG Southee,4.0,0,29,0,7.25,-,-,,ODI v England,Lord's,15 Sep 2023,ODI # 4647
TG Southee,10.0,0,77,2,7.70,38.50,30.0,,ODI v South Africa,Pune,1 Nov 2023,ODI # 4689
Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,
CR Woakes,4.0,0,34,1,8.50,34.00,24.0,,T20I v Australia,Adelaide,12 Jan 2011,T20I # 197
CR Woakes,3.0,0,29,1,9.66,29.00,18.0,,T20I v Australia,Melbourne,14 Jan 2011,T20I # 198
CR Woakes,7.0,0,31,1,4.42,31.00,42.0,,ODI v Australia,Sydney,23 Jan 2011,ODI # 3086
CR Woakes,10.0,0,45,6,4.50,7.50,10.0,,ODI v Australia,Brisbane,30 Jan 2011,ODI # 3091
CR Woakes,9.2,0,73,0,7.82,-,-,,ODI v Australia,Sydney,2 Feb 2011,ODI # 3094
CR Woakes,3.0,0,31,0,10.33,-,-,,T20I v Sri Lanka,Bristol,25 Jun 2011,T20I # 201
CR Woakes,6.0,1,20,0,3.33,-,-,,ODI v Ireland,Dublin,25 Aug 2011,ODI # 3185
CR Woakes,-,-,-,-,-,-,-,,ODI v South Africa,Cardiff,24 Aug 2012,ODI # 3296
CR Woakes,6.0,0,35,0,5.83,-,-,,ODI v South Africa,Nottingham,5 Sep 2012,ODI # 3304
CR Woakes,9.0,0,60,1,6.66,60.00,54.0,,ODI v India,Kochi,15 Jan 2013,ODI # 3320
CR Woakes,9.0,1,45,1,5.00,45.00,54.0,,ODI v India,Dharamsala,27 Jan 2013,ODI # 3329
CR Woakes,10.0,0,52,2,5.20,26.00,30.0,,ODI v New Zealand,Hamilton,17 Feb 2013,ODI # 3335
CR Woakes,10.0,0,68,3,6.80,22.66,20.0,,ODI v New Zealand,Napier,20 Feb 2013,ODI # 3336
CR Woakes,9.0,0,34,1,3.77,34.00,54.0,,ODI v New Zealand,Auckland,23 Feb 2013,ODI # 3338
CR Woakes,6.0,0,45,0,7.50,-,-,,ODI v New Zealand,Lord's,31 May 2013,ODI # 3360
CR Woakes,7.0,0,49,0,7.00,-,-,,ODI v New Zealand,Southampton,2 Jun 2013,ODI # 3361
CR Woakes,1.0,0,19,0,19.00,-,-,,T20I v New Zealand,The Oval,25 Jun 2013,T20I # 317
CR Woakes,24.0,7,96,1,4.00,96.00,144.0,,Test v Australia,The Oval,21 Aug 2013,Test # 2094
CR Woakes,4.0,0,31,1,7.75,31.00,24.0,,T20I v Sri Lanka,The Oval,20 May 2014,T20I # 401
CR Woakes,31.0,11,83,0,2.67,-,-,,Test v India,Southampton,27 Jul 2014,Test # 2132
CR Woakes,19.0,3,80,1,4.21,80.00,114.0,,Test v India,Manchester,7 Aug 2014,Test # 2134
CR Woakes,21.0,7,54,4,2.57,13.50,31.5,,Test v India,The Oval,15 Aug 2014,Test # 2137
CR Woakes,10.0,1,52,4,5.20,13.00,15.0,,ODI v India,Cardiff,27 Aug 2014,ODI # 3517
CR Woakes,8.0,1,43,1,5.37,43.00,48.0,,ODI v India,Nottingham,30 Aug 2014,ODI # 3520
CR Woakes,4.0,0,40,0,10.00,-,-,,ODI v India,Birmingham,2 Sep 2014,ODI # 3523
CR Woakes,10.0,1,61,0,6.10,-,-,,ODI v India,Leeds,5 Sep 2014,ODI # 3525
CR Woakes,4.0,0,43,1,10.75,43.00,24.0,,T20I v India,Birmingham,7 Sep 2014,T20I # 405
CR Woakes,10.0,0,68,2,6.80,34.00,30.0,,ODI v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
CR Woakes,5.0,0,23,0,4.60,-,-,,ODI v Sri Lanka,Colombo (RPS),29 Nov 2014,ODI # 3557
CR Woakes,7.0,0,41,3,5.85,13.66,14.0,,ODI v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
CR Woakes,9.0,0,53,1,5.88,53.00,54.0,,ODI v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
CR Woakes,8.0,0,47,6,5.87,7.83,8.0,,ODI v Sri Lanka,Pallekele,10 Dec 2014,ODI # 3565
CR Woakes,10.0,1,51,2,5.10,25.50,30.0,,ODI v Sri Lanka,Pallekele,13 Dec 2014,ODI # 3567
CR Woakes,9.0,0,71,0,7.88,-,-,,ODI v Sri Lanka,Colombo (RPS),16 Dec 2014,ODI # 3569
CR Woakes,8.0,1,40,4,5.00,10.00,12.0,,ODI v Australia,Sydney,16 Jan 2015,ODI # 3578
CR Woakes,7.0,0,35,0,5.00,-,-,,ODI v India,Brisbane,20 Jan 2015,ODI # 3586
CR Woakes,9.5,0,58,2,5.89,29.00,29.5,,ODI v Australia,Hobart,23 Jan 2015,ODI # 3589
CR Woakes,9.1,1,47,2,5.12,23.50,27.5,,ODI v India,Perth,30 Jan 2015,ODI # 3595
CR Woakes,10.0,0,89,0,8.90,-,-,,ODI v Australia,Perth,1 Feb 2015,ODI # 3597
CR Woakes,10.0,0,65,1,6.50,65.00,60.0,,ODI v Australia,Melbourne,14 Feb 2015,ODI # 3600
CR Woakes,3.0,1,8,2,2.66,4.00,9.0,,ODI v New Zealand,Wellington,20 Feb 2015,ODI # 3607
CR Woakes,5.2,0,25,2,4.68,12.50,16.0,,ODI v Scotland,Christchurch,23 Feb 2015,ODI # 3611
CR Woakes,9.2,0,72,0,7.71,-,-,,ODI v Sri Lanka,Wellington,1 Mar 2015,ODI # 3619
CR Woakes,10.0,0,64,0,6.40,-,-,,ODI v Bangladesh,Adelaide,9 Mar 2015,ODI # 3630
CR Woakes,9.0,0,57,0,6.33,-,-,,ODI v Australia,Southampton,3 Sep 2015,ODI # 3680
CR Woakes,8.0,1,37,0,4.62,-,-,,ODI v Australia,Lord's,5 Sep 2015,ODI # 3681
CR Woakes,4.0,0,22,0,5.50,-,-,,ODI v Australia,Manchester,8 Sep 2015,ODI # 3682
CR Woakes,8.4,0,40,0,4.61,-,-,,ODI v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
CR Woakes,8.0,0,33,4,4.12,8.25,12.0,,ODI v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
CR Woakes,9.5,0,40,4,4.06,10.00,14.7,,ODI v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
CR Woakes,8.0,1,46,0,5.75,-,-,,ODI v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
CR Woakes,4.0,0,40,2,10.00,20.00,12.0,,T20I v Pakistan,Dubai (DSC),27 Nov 2015,T20I # 469
CR Woakes,4.0,0,26,1,6.50,26.00,24.0,,T20I v Pakistan,Sharjah,30 Nov 2015,T20I # 473
CR Woakes,24.0,6,53,1,2.20,53.00,144.0,,Test v South Africa,Durban,26 Dec 2015,Test # 2196
CR Woakes,35.2,3,144,1,4.07,144.00,212.0,,Test v South Africa,Centurion,22 Jan 2016,Test # 2200
CR Woakes,8.0,1,42,1,5.25,42.00,48.0,,ODI v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
CR Woakes,5.0,0,32,0,6.40,-,-,,ODI v South Africa,Cape Town,14 Feb 2016,ODI # 3738
CR Woakes,34.2,12,112,5,3.26,22.40,41.2,,Test v Sri Lanka,Chester-le-Street,27 May 2016,Test # 2204
CR Woakes,19.1,6,38,3,1.98,12.66,38.3,,Test v Sri Lanka,Lord's,9 Jun 2016,Test # 2205
CR Woakes,10.0,0,56,2,5.60,28.00,30.0,,ODI v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
CR Woakes,8.0,0,36,0,4.50,-,-,,ODI v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
CR Woakes,10.0,1,34,3,3.40,11.33,20.0,,ODI v Sri Lanka,Bristol,26 Jun 2016,ODI # 3755
CR Woakes,9.0,0,65,0,7.22,-,-,,ODI v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
CR Woakes,9.0,0,36,0,4.00,-,-,,ODI v Sri Lanka,Cardiff,2 Jul 2016,ODI # 3758
CR Woakes,42.0,13,102,11,2.42,9.27,22.9,,Test v Pakistan,Lord's,14 Jul 2016,Test # 2206
CR Woakes,31.3,3,108,7,3.42,15.42,27.0,,Test v Pakistan,Manchester,22 Jul 2016,Test # 2208
CR Woakes,41.0,9,132,5,3.21,26.40,49.2,,Test v Pakistan,Birmingham,3 Aug 2016,Test # 2212
CR Woakes,34.0,8,93,3,2.73,31.00,68.0,,Test v Pakistan,The Oval,11 Aug 2016,Test # 2216
CR Woakes,10.0,2,43,1,4.30,43.00,60.0,,ODI v Pakistan,Southampton,24 Aug 2016,ODI # 3770
