Player,Bat1,Bat2,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,temp,humidity,windspeed
Combined Test,50,44,94,192,48.95,15,0,,Test v England,The Oval,2 Sep 2021,50.9,71.3,18.4
Combined Test,57,-,57,49,116.32,5,1,,T20I v Pakistan,Dubai (DSC),24 Oct 2021,N/A,N/A,N/A
Combined Test,9,-,9,17,52.94,0,0,,T20I v New Zealand,Dubai (DSC),31 Oct 2021,N/A,N/A,N/A
Combined Test,DNB,-,-,-,-,-,-,,T20I v Afghanistan,Abu Dhabi,3 Nov 2021,84.3,72.5,11.7
Combined Test,2*,-,2,2,100.00,0,0,,T20I v Scotland,Dubai (DSC),5 Nov 2021,N/A,N/A,N/A
Combined Test,DNB,-,-,-,-,-,-,,T20I v Namibia,Dubai (DSC),8 Nov 2021,N/A,N/A,N/A
Combined Test,0,36,36,88,40.90,1,1,,Test v New Zealand,Wankhede,3 Dec 2021,N/A,N/A,N/A
Combined Test,35,18,53,126,42.06,8,0,,Test v South Africa,Centurion,26 Dec 2021,75.9,66.3,8.1
Combined Test,79,29,108,344,31.39,16,1,,Test v South Africa,Cape Town,11 Jan 2022,69.5,74.3,20.8
Combined Test,51,-,51,63,80.95,3,0,,ODI v South Africa,Paarl,19 Jan 2022,68.8,61.1,20.8
Combined Test,0,-,0,5,0.00,0,0,,ODI v South Africa,Paarl,21 Jan 2022,74.6,59.7,16.1
Combined Test,65,-,65,84,77.38,5,0,,ODI v South Africa,Cape Town,23 Jan 2022,80.3,65.0,18.8
Combined Test,8,-,8,4,200.00,2,0,,ODI v West Indies,Ahmedabad,6 Feb 2022,70.0,49.6,4.7
Combined Test,18,-,18,30,60.00,3,0,,ODI v West Indies,Ahmedabad,9 Feb 2022,73.4,55.8,4.7
Combined Test,0,-,0,2,0.00,0,0,,ODI v West Indies,Ahmedabad,11 Feb 2022,70.5,44.1,10.7
Combined Test,17,-,17,13,130.76,1,0,,T20I v West Indies,Eden Gardens,16 Feb 2022,81.6,76.9,8.1
Combined Test,52,-,52,41,126.82,7,1,,T20I v West Indies,Eden Gardens,18 Feb 2022,83.3,74.7,7.4
Combined Test,45,-,45,76,59.21,5,0,,Test v Sri Lanka,Mohali,4 Mar 2022,64.1,65.1,8.1
Combined Test,23,13,36,64,56.25,3,0,,Test v Sri Lanka,Bengaluru,12 Mar 2022,77.9,39.1,13.8
Combined Test,11,20,31,59,52.54,6,0,,Test v England,Birmingham,1 Jul 2022,58.4,76.6,10.8
Combined Test,1,-,1,3,33.33,0,0,,T20I v England,Birmingham,9 Jul 2022,65.7,63.5,13.4
Combined Test,11,-,11,6,183.33,1,1,,T20I v England,Nottingham,10 Jul 2022,69.1,59.7,7.0
Combined Test,16,-,16,25,64.00,3,0,,ODI v England,Lord's,14 Jul 2022,45.7,80.7,31.1
Combined Test,17,-,17,22,77.27,3,0,,ODI v England,Manchester,17 Jul 2022,71.2,57.4,11.2
Combined Test,35,-,35,34,102.94,3,1,,T20I v Pakistan,Dubai (DSC),28 Aug 2022,N/A,N/A,N/A
