Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
R Ashwin,4,0,23,1,5.75,23,24,Mirpur,24 Feb 2016,76.9,47.3,9.6,"Rain, Partially cloudy",T20I,Bangladesh
R Ashwin,3,0,21,0,7,-,-,Mirpur,27 Feb 2016,77.3,68.8,5.4,"Rain, Partially cloudy",T20I,Pakistan
R Ashwin,4,0,26,2,6.5,13,12,Mirpur,1 Mar 2016,77.5,60.4,7.8,Rain,T20I,Sri Lanka
R Ashwin,3,0,14,1,4.66,14,18,Mirpur,6 Mar 2016,81,58.2,7.8,Clear,T20I,Bangladesh
R Ashwin,4,0,32,1,8,32,24,Nagpur,15 Mar 2016,81.2,56.1,6.9,"Rain, Partially cloudy",T20I,New Zealand
R Ashwin,3,0,12,0,4,-,-,Eden Gardens,19 Mar 2016,87.8,72.7,11.4,Partially cloudy,T20I,Pakistan
R Ashwin,4,0,20,2,5,10,12,Bengaluru,23 Mar 2016,85.9,53.7,11.4,Partially cloudy,T20I,Bangladesh
R Ashwin,2,0,31,1,15.5,31,12,Mohali,27 Mar 2016,73.8,47.1,9.2,Partially cloudy,T20I,Australia
R Ashwin,2,0,20,0,10,-,-,Wankhede,31 Mar 2016,N/A,N/A,N/A,N/A,T20I,West Indies
R Ashwin,42,13,126,7,3,18,36,North Sound,21 Jul 2016,79.1,75.6,8.4,Clear,Test,West Indies
R Ashwin,46,6,166,6,3.6,27.66,46,Kingston,30 Jul 2016,85.8,68.4,20.8,Partially cloudy,Test,West Indies
R Ashwin,38,9,80,3,2.1,26.66,76,Gros Islet,9 Aug 2016,64.8,59.8,12.3,Clear,Test,West Indies
R Ashwin,5,1,22,1,4.4,22,30,Port of Spain,18 Aug 2016,83,80,18.3,"Rain, Partially cloudy",Test,West Indies
R Ashwin,4,0,36,0,9,-,-,Lauderhill,27 Aug 2016,85.3,74,18.1,"Rain, Partially cloudy",T20I,West Indies
R Ashwin,3,0,11,2,3.66,5.5,9,Lauderhill,28 Aug 2016,83.5,75.9,20.1,"Rain, Partially cloudy",T20I,West Indies
R Ashwin,66.2,12,225,10,3.39,22.5,39.8,Kanpur,22 Sep 2016,83.2,87,6.9,Partially cloudy,Test,New Zealand
R Ashwin,39,9,115,4,2.94,28.75,58.5,Eden Gardens,30 Sep 2016,81.4,81.8,15,Partially cloudy,Test,New Zealand
R Ashwin,41.1,7,140,13,3.4,10.76,19,Indore,8 Oct 2016,78.6,83.9,7.8,"Rain, Partially cloudy",Test,New Zealand
R Ashwin,69.3,7,230,3,3.3,76.66,139,Rajkot,9 Nov 2016,77.4,44.9,6.3,Clear,Test,England
R Ashwin,59.5,17,119,8,1.98,14.87,44.8,Visakhapatnam,17 Nov 2016,79.6,67.3,17.7,Clear,Test,England
R Ashwin,44.2,5,124,4,2.79,31,66.5,Mohali,26 Nov 2016,69.5,38.8,16.1,Clear,Test,England
R Ashwin,64.3,7,167,12,2.58,13.91,32.2,Wankhede,8 Dec 2016,N/A,N/A,N/A,N/A,Test,England
R Ashwin,69,9,207,1,3,207,414,Chennai,16 Dec 2016,80.2,74,11.4,Partially cloudy,Test,England
R Ashwin,8,0,63,0,7.87,-,-,Pune,15 Jan 2017,69.9,68.5,10.7,Partially cloudy,ODI,England
R Ashwin,10,0,65,3,6.5,21.66,20,Cuttack,19 Jan 2017,70.7,65,9,Clear,ODI,England
R Ashwin,9,0,60,0,6.66,-,-,Eden Gardens,22 Jan 2017,83.1,75.4,10.3,Partially cloudy,ODI,England
R Ashwin,59.2,17,171,6,2.88,28.5,59.3,Hyderabad,9 Feb 2017,77.6,46.1,6.9,Clear,Test,Bangladesh
R Ashwin,62.5,13,182,7,2.89,26,53.8,Pune,23 Feb 2017,78,37.3,10.3,Clear,Test,Australia
R Ashwin,61.4,17,125,8,2.02,15.62,46.2,Bengaluru,4 Mar 2017,78.3,60.3,9.1,Partially cloudy,Test,Australia
R Ashwin,64,12,185,2,2.89,92.5,192,Ranchi,16 Mar 2017,70.8,33.7,9.2,Clear,Test,Australia
